"CONTEXT (DO NOT MODIFY)","ENGLISH (DO NOT MODIFY)","LOCALIZED (EDIT THIS COLUMN)"
"speech:state-duration","$random-stay couple months.","Hil pare baterako $random-stay"
"speech:state-duration","$random-stay two months.","Bi hilabeterako $random-stay"
"speech:state-duration","$random-stay 90 days.","90 egunerako $random-stay"
"speech:state-duration","$random-stay 12 weeks.","12 asterako $random-stay"
"speech:state-duration","$random-stay three months.","Hiru hilabeterako $random-stay"
"speech:state-duration","$random-stay a few months.","Hil batzutarako $random-stay"
"speech:state-duration","$random-stay six months.","Sei hilabeterako $random-stay"
"speech:state-duration","$random-stay half a year.","Urte erdirako $random-stay"
"speech:state-duration","$random-stay one year.","Urtebeterako $random-stay"
"speech:state-duration","$random-stay full year.","Urte oso baterako $random-stay"
"speech:state-duration","$random-stay a year.","Urte baterako $random-stay"
"speech:ask-wrong-duration","The length of your stay is different.","Zure egonaldiaren iraupena ez dator bat."
"speech:wrong-duration","$mistake-prefix $state-duration","$mistake-prefix $state-duration"
"speech:ask-forgery-missing","This document is missing its seal.","Dokumentuaren zigilua falta da."
"speech:ask-forgery-missing","There is no seal here.","Hemen ez dago zigilurik."
"speech:ask-forgery-missing","I do not see the required seal here.","Ez dut beharrezko zigilua ikusten."
"speech:ask-forgery-wrong","This document is forged.","Dokumentua faltsuturik dago."
"speech:ask-forgery-wrong","This is a forgery.","Dokumentu hau faltsua da."
"speech:ask-forgery-idcard","This card contains false information.","Agiri honeko okerreko informazioa dauka."
"speech:ask-forgery-diplo","This seal is forged.","Zigilu hau faltsua da."
"speech:ask-forgery-diplo","This seal is not correct.","Zigilu hau ez da zuzena."
"speech:ask-forgery-asylumgrant","This seal is forged.","Zigilu hau faltsua da."
"speech:ask-forgery-asylumgrant","This grant is not sealed properly.","Aitorpena ez dago behar bezala zigilatua."
"speech:ask-wrong-birthdate","These dates do not match.","Data hauek ez datoz bat."
"speech:forgery","I have no idea what you are talking about.","Ez dakit zeri buruz ari zaren."
"speech:forgery","I do not know anything about that.","Ez dakit ezer horri buruz."
"speech:forgery","I do not understand.","Ez dut ulertzen."
"speech:ask-expired-paper","This document has expired.","Dokumentua iraungi da."
"speech:ask-expired-paper","You cannot enter using an expired document.","Ezin zara iraungitako dokumentu batekin sartu."
"speech:expired-permit","I could not come until now.","Ezin izan naiz orain arte etorri."
"speech:expired-permit","I was busy.","Lanpeturik egon naiz."
"speech:expired-passport","What? That is mistake. I just renewed it.","Zer? Akats bat dago hor. Oraintsu berritu dut."
"speech:expired-passport","That must be a typographical error.","Errore tipografiko bat egon behar da."
"speech:expired-asylumgrant","There was nothing I could do.","Ezin izan dut ezer egin."
"speech:expired-asylumgrant","My travel was difficult.","Bidaia zaila izan dut."
"speech:expired-asylumgrant","Please, have mercy.","Mesedez, erruki zaitez."
"speech:ask-missing-passport","Where is passport?","Non duzu pasaportea?"
"speech:ask-missing-passport","A passport is required.","Pasaportea beharrezkoa da."
"speech:missing-passport","They took away my passport.","Pasaportea lapurtu didate."
"speech:missing-passport","What is passport?","Zer da pasaportea?"
"speech:ask-missing-entrypermit","Where is the entry permit?","Non duzu onarpen baimena?"
"speech:ask-missing-entrypermit","You have no entry permit.","Ez duzu onarpen baimenik."
"speech:ask-missing-entrypermit","The entry permit is missing.","Onarpen baimena falta da."
"speech:missing-permit","I was not able to get one.","Ezin izan dut bat lortu."
"speech:missing-permit","What is that?","Zer da hori?"
"speech:missing-permit","Do I need one?","Bat behar al dut?"
"speech:missing-permit","Is required?","Beharrezkoa da?"
"speech:missing-permit","I lost it.","Galdu egin dut."
"speech:missing-permit","I did not know it was required.","Ez nekien beharrezkoa zenik."
"speech:ask-missing-workpermit","Where is the work pass?","Non duzu lanerako baimena?"
"speech:ask-missing-workpermit","You have no work pass.","Ez duzu lanerako baimenik."
"speech:ask-missing-workpermit","The work pass is missing.","Lanerako baimena falta da."
"speech:missing-workpermit","I will get one after I enter.","Sartu ostean lortuko dut bat."
"speech:ask-missing-idcard","Where is your id card?","Non duzu nortasun agiria?"
"speech:ask-missing-idcard","I need your id card.","Zure nortasun agiria behar dut."
"speech:missing-idcard","I never got one.","Ez dut inoiz eduki halakorik."
"speech:missing-idcard","I left before they were issued.","Halakoak ematen hasi aurretik egin nuen alde."
"speech:missing-idcard","I lost it.","Galdu egin dut."
"speech:ask-missing-idsupplement","You must carry an id supplement.","Nortasun gehigarri bat ekarri behar duzu."
"speech:ask-missing-idsupplement","Where is your id supplement?","Non duzu nortasun gehigarria?"
"speech:missing-idsupplement","I never got one.","Ez dut inoiz eduki halakorik."
"speech:missing-idsupplement","What is a supplement?","Zer da gehigarria?"
"speech:missing-idsupplement","This was not provided to me.","Ez zait inoiz horrelakorik eman."
"speech:ask-missing-asylumgrant","You have no grant for asylum.","Ez duzu asilo aitorpenik."
"speech:ask-missing-asylumgrant","Where is your asylum grant?","Non duzu asilo aitorpena?"
"speech:missing-asylumgrant","I could not secure one in time.","Ezin izan dut bat lortu garaiz."
"speech:missing-asylumgrant","I have none.","Ez daukat."
"speech:missing-asylumgrant","What is that?","Zer da hori?"
"speech:ask-missing-accesspermit","Where is the access permit?","Non duzu sarrera baimena?"
"speech:ask-missing-accesspermit","You have no access permit.","Ez duzu sarrera baimenik."
"speech:ask-missing-accesspermit","The access permit is missing.","Sarrera baimena falta da."
"speech:ask-wrong-name","These names do not match.","Izen hauek ez datoz bat."
"speech:wrong-name","I have two different names.","Bi izen desberdin ditut."
"speech:wrong-name","I have multiple names.","Izen bat baino gehiago dut."
"speech:wrong-name","My name was changed recently.","Orain gutxi aldatu nuen izena."
"speech:ask-wrong-workend","You are not authorized to work this long.","Ez duzu baimenik hain luzaroan lan egiteko."
"speech:ask-wrong-workend","This work pass expires before your visit.","Lanerako baimen hau zure bisita baino lehen iraungitzen da."
"speech:wrong-workend","I will renew the pass soon.","Laster berrituko dut baimena."
"speech:wrong-workend","I am planning to renew it.","Berritzeko asmotan nabil."
"speech:wrong-workend","My entry permit is longer than I need.","Nire onarpen baimenak behar dudana baino gehiago irauten du."
"speech:ask-wrong-idnumber","These numbers do not match.","Zenbaki hauek ez datoz bat."
"speech:ask-wrong-idnumber","There is a discrepancy here.","Diskrepantzia bat dago hemen."
"speech:ask-wrong-idnumber","There are two different numbers here.","Hemen bi zenbaki desberdin daude."
"speech:wrong-idnumber","It must be a mistake. The document is valid.","Akats bat izan behar da. Dokumentua baliozkoa da."
"speech:wrong-idnumber","Check again.","Begiratu berriz."
"speech:ask-wrong-face","This does not look like you.","Ez dirudi hau zu zarenik."
"speech:ask-wrong-face","Your picture. It is different.","Zure argazkia. Ez dator bat."
"speech:ask-wrong-face","Your appearance has changed.","Zure itxura aldatu da."
"speech:wrong-face","It is an old picture.","Argazki zahar bat da."
"speech:wrong-face","I had surgery.","Kirurgia izan nuen."
"speech:wrong-face","The years have been cruel.","Urteak krudelak izan dira nirekin."
"speech:wrong-face","I do not know what to say. It is me.","Ez dakit zer esan. Ni naiz."
"speech:ask-wrong-issuingcity","This issuing city is incorrect.","Hiri agirigilea ez da zuzena."
"speech:ask-wrong-issuingcity","Your passport has false information.","Zure pasaporteak okerreko informazioa dauka."
"speech:ask-wrong-gender","You are a man?","Gizonezkoa zara?"
"speech:ask-wrong-gender","It says here that you are male.","Gizonezkoa zarela dio."
"speech:ask-wrong-gender","You are a woman?","Emakumezkoa zara?"
"speech:ask-wrong-gender","Your passport says you are female.","Zure pasaportean emakumea zarela jartzen du."
"speech:ask-wrong-gender","Are you a woman or a man?","Emakumea ala gizona zara?"
"speech:ask-wrong-gender","You are male or female?","Gizona edo emakumea zara?"
"speech:wrong-gender","The passport is correct.","Pasaportea ondo dago."
"speech:wrong-gender","Why do you ask?","Zergatik galdetzen duzu?"
"speech:wrong-gender","As the document says.","Dokumentuak dioena."
"speech:wrong-gender","What is this question?","Zein da galdera?"
"speech:ask-wrong-gender-busted","There is a problem with your documentation.","Arazo bat dago zure dokumentazioarekin."
"speech:ask-approved","Glory to Arstotzka.","Aintza Arstotzkari."
"speech:ask-approved","Cause no trouble.","Ez sortu arazorik."
"speech:ask-nativesonly","Try again.","Saiatu berriro."
"speech:ask-nativesonly","Arstotzkans only.","Arstotzkarrak soilik."
"speech:ask-wrong-nation","No entry from Obristan.","Obristandarrak ezin dira sartu."
"speech:ask-wrong-nation","No entry from Kolechia.","Kolechiarrak ezin dira sartu."
"speech:ask-wrong-nation","No entry from United Federation.","Federazio Batukoak ezin dira sartu."
"speech:ask-wrong-nation","No entry from Antegria.","Antegriarrak ezin dira sartu."
"speech:ask-wrong-nation","No entry from Republia.","Republiarrak ezin dira sartu."
"speech:ask-wrong-nation","No entry from Arstotzka.","Arstotzkarrak ezin dira sartu."
"speech:ask-wrong-nation","No entry from Impor.","Importarrak ezin dira sartu."
"speech:ask-search","Face the scanner.","Begiratu eskanerrari."
"speech:ask-search","Turn towards the scanner.","Biratu eskanerrerantz."
"speech:ask-detain","Wait here.","Itxaron hemen."
"speech:ask-detain","One moment please.","Unetxo bat, mesedez."
"speech:detain","What are you doing?","Zertan zabiltza?"
"speech:detain","What is happening?","Zer gertatzen da?"
"speech:detain","What is this?","Zer da hau?"
"speech:detain","You cannot do this!","Ezin duzu hau egin!"
"speech:detain","What will happen to me?","Zer egin behar didazue?"
"speech:detain","Who do you think you are?","Nor zarela uste duzu?"
"speech:detain","You have no authority for this!","Ez duzu hau egiteko eskubiderik!"
"speech:detain","You are a fool!","Ergel bat zara!"
"speech:ask-search-enabled","You have been selected for a random search.","Ausazko arakatze baterako hautatua izan zara."
"speech:ask-wrong-entryticket-date","This ticket is for another day.","Tiket hau beste egun baterako da."
"speech:ask-wrong-entryticket-date","You cannot enter today.","Gaur ezin zara sartu."
"speech:ask-wrong-entryticket-date","The date on this ticket is wrong.","Tiket honetako data ez da zuzena."
"speech:wrong-entryticket-date","It is my mistake.","Nire akatsa."
"speech:wrong-entryticket-date","Oh?","Oh?"
"speech:ask-missing-entryticket","You cannot enter without a ticket.","Ezin zara sartu tiketik gabe."
"speech:ask-missing-entryticket","Foreigners must present an entry ticket.","Atzerritarrek onarpen tiket bat aurkeztu behar dute."
"speech:ask-missing-entryticket","Where is your entry ticket?","Non da zure onarpen tiketa?"
"speech:missing-entryticket","I do not know what that is.","Ez dakit zer den hori."
"speech:missing-entryticket","I have none.","Ez daukat."
"speech:missing-entryticket","It was lost.","Galdu egin dut."
"speech:ask-wrong-identity","I cannot verify your identity.","Ezin dut zure nortasuna egiaztatu."
"speech:ask-wrong-identity","Your identity does not match.","Zure nortasuna ez dator bat."
"speech:ask-wrong-alias","There is no record of this name.","Ez dago izen honen erregistrorik."
"speech:ask-wrong-alias","I cannot verify your alias.","Ezin dut zure aliasa egiaztatu."
"speech:ask-wrong-fingerprints","Your fingerprints do not match our records.","Zure hatz-markak ez datoz gure erregistroekin bat."
"speech:ask-wrong-fingerprints","I cannot verify your fingerprints.","Ezin ditut zure hatz-markak egiaztatu."
"speech:ask-contraband","There is zero tolerance for contraband.","Ez da inola ere onartzen kontrabandorik."
"speech:ask-contraband","You have made a mistake coming here.","Gaizki egin duzu hona etortzean."
"speech:contraband","You can see that?","Ikus dezakezu?"
"speech:contraband","What?","Zer?"
"speech:contraband","I know nothing.","Ez dakit ezer."
"speech:contraband","Is it so obvious?","Hainbeste antzematen da?"
"speech:ask-wrong-information","This information does not look correct.","Informazioak ez dirudi zuzena denik."
"speech:ask-wrong-information","This is incorrect.","Hau oker dago."
"speech:ask-wrong-height","Your height is different.","Zure garaiera ez dator bat."
"speech:wrong-height","Perhaps my shoes are different.","Agian beste oinetako batzuk neramatzan."
"speech:wrong-height","It is a natural difference.","Desberdintasuna naturala da."
"speech:ask-wrong-weight","Your weight is different.","Zure pisua ez dator bat."
"speech:wrong-weight","I am wearing different clothes.","Ez daramatzat jantzi berak."
"speech:wrong-weight","My weight has changed naturally.","Nire pisua naturalki aldatu da."
"speech:ask-criminal","You have interesting face.","Aurpegi interesgarria duzu."
"speech:ask-criminal","Maybe you should not have come.","Agian hobe zenuke etorri ez bazina."
"speech:ask-criminal","We have some questions for you.","Galdera batzuk ditugu zuretzat."
"speech:criminal","I have nothing to say.","Ez dut ezer esateko."
"speech:criminal","Let me through or you will regret it.","Utzi pasatzen edo damutuko zara."
"speech:criminal","I do not like your tone.","Ez dut zure tonua atsegin."
"speech:ask-wrong-description","This does not sound like you.","Honek ez dauka zure itxurarik."
"speech:ask-wrong-description","You do not match this description.","Ez zatoz deskribapen honekin bat."
"speech:wrong-description","I have changed.","Aldatu egin naiz."
"speech:wrong-description","How can you say for sure?","Nola zaude horren ziur?"
"speech:wrong-description","Is that good or bad?","Hori ona ala txarra da?"
"speech:hidden-paper","Here it is.","Hona hemen."
"speech:hidden-paper","Sorry. I have it here.","Barkatu. Hemen duzu."
"speech:hidden-paper","I have it here.","Hemen duzu."
"speech:hidden-paper","Here.","Tori."
"speech:ask-wrong-thumbprint","Your thumb print does not match.","Zure erpuru-marka ez dator bat."
"speech:ask-wrong-thumbprint","This print does not match.","Hatz-marka hau ez dator bat."
"speech:ask-wrong-diploaccess","Your diplomatic authorization does not cover Arstotzka.","Zure baimen diplomatikoan ez da Arstotzka sartzen."
"speech:ask-wrong-diploaccess","You have no diplomatic rights here.","Hemen ez duzu eskubide diplomatikorik."
"speech:ask-wrong-diploaccess","This authorization does not include Arstotzka.","Baimenak ez du Arstotzka barne hartzen."
"speech:wrong-diploaccess","Nonsense.","Ze astakeria."
"speech:wrong-diploaccess","Check with your superiors.","Egiaztatu goikoekin."
"speech:wrong-diploaccess","I have full authorization.","Baimen osoa daukat."
"speech:ask-missing-vaccinecert","Where is the vaccine certification?","Non da txerto ziurtagiria?"
"speech:ask-missing-vaccinecert","Where is your proof of vaccination?","Non duzu txertoen erregistroa?"
"speech:ask-missing-vaccinecert","All entrants must be vaccinated.","Eskatzaile guztiak txertaturik egon behar dira."
"speech:missing-vaccinecert","I do not believe in vaccines.","Ez dut txertoetan sinesten."
"speech:missing-vaccinecert","I could not afford certification.","Ezin nuen ziurtagiria ordaindu."
"speech:ask-vaccine-expired","This vaccine has expired.","Txerto hau iraungita dago."
"speech:ask-vaccine-expired","This vaccine is no longer active.","Txerto hau dagoeneko ez dago aktibo."
"speech:ask-vaccine-wrongdrugs","You are missing the required vaccination.","Beharrezko txerto bat falta zaizu."
"speech:ask-vaccine-wrongdrugs","This vaccine certificate is insufficient.","Txerto ziurtagiri hau ez da nahikoa."
"speech:trade-fingerprints","Here.","Tori."
"speech:trade-fingerprints","Is this ok?","Horrela ongi?"
"speech:trade-fingerprints","Here are my fingerprints.","Hemen dituzu nire hatz-markak."
"speech:trade-fingerprints","Now I have ink everywhere.","Orain tintaz beterik nago."
"speech:default","Please let me through.","Utzi pasatzen, arren."
"speech:default","What are you talking about?","Zertaz ari zara?"
"speech:default","I know nothing about this.","Ez dakit ezer honi buruz."
"speech:default","I do not know what to say.","Ez dakit zer esan."
"speech:default","Oh?","Oh?"
"face:M00","Short Hair","Ile laburra"
"face:M00","Good Vision","Ikusmen ona"
"face:M00","Balding","Soiltzen hasia"
"face:M00","Glasses","Betaurrekoak"
"face:M00","Large Mustache","Bibote luzea"
"face:M01","Bald","Burusoila"
"face:M01","Large Curly Locks","Ile-xerlo handiak"
"face:M01","Glasses","Betaurrekoak"
"face:M02","Cropped Hair","Ile laburra"
"face:M02","Glasses","Betaurrekoak"
"face:M02","Overweight","Gizena"
"face:M02","No Glasses","Betaurrekorik ez"
"face:M03","Dark Hair","Ile iluna"
"face:M03","Mustache","Bibotea"
"face:M03","Light Hair","Ile argia"
"face:M03","Glasses","Betaurrekoak"
"face:M10","Beard","Bizarra"
"face:M10","Mustache","Bibotea"
"face:M10","Shaved Head","Kaskamotza"
"face:M10","Glasses","Betaurrekoak"
"face:M11","Goatee","Kokospekoa"
"face:M11","Perfect Vision","Ikusmen bikaina"
"face:M11","Mohawk","Mohawk ilea"
"face:M11","Glasses","Betaurrekoak"
"face:M12","Short Cropped Hair","Militar ilea"
"face:M12","Long Wavy Hair","Ile luze izurtua"
"face:M12","Glasses","Betaurrekoak"
